ISO,AgeofDeath
LAO,62.489998
LVA,74.425
LBN,73.07
LSO,59.19
LBR,51.695
LBY,68.22
LTU,74.035
LUX,76.89
MKD,75.71
MDG,59.845
MWI,55.92
MYS,70.854996
MDV,70.45
MLI,49.245
MLT,77.99
MHL,64.755
MRT,55.809998
MUS,72.585
MEX,70.509995
FSM,69.1
MNG,66.034996
MNE,75.774994
MAR,67.795
MOZ,56.425
MMR,66.54
NAM,63.105
NPL,62.265
NLD,78.21
NZL,77.399994
NIC,68.244995
NER,49.465
NGA,52.045
NOR,78.744995
OMN,67.985
PAK,61.704998
PAN,71.284996
PNG,62.754997
PRY,69.244995
PER,69.02
PHL,65.395
POL,75.119995
PRT,77.899994
QAT,64.47
KOR,74.85
MDA,72.525
ROU,75.229996
RUS,71.555
RWA,57.225
LCA,72.09
VCT,70.155
WSM,69.735
STP,61.375
SAU,68.265
SEN,56.004997
SRB,76.63
SYC,67.815
SLE,54.11
SGP,75.31
SVK,75.14
SVN,76.43
SLB,66.02
SOM,55.37
ZAF,61.589996
ESP,78.655
LKA,73.31
SDN,57.64
SUR,66.965
SWZ,60.329998
SWE,79.53
CHE,78.91499
SYR,69.305
TJK,62.245
TZA,55.425
THA,71.685
TLS,57.489998
TGO,55.85
TON,70.335
TTO,71.354996
TUN,71.84
TUR,69.655
TKM,67.315
UGA,55.985
UKR,73.095
ARE,62.75
GBR,78.43
USA,76.465
URY,76.44
UZB,66.19
VUT,66.645
VEN,68.08
VNM,70.415
YEM,57.129997
ZMB,55.09
ZWE,60.309998
AAE,69.03335
ACE,75.03335
GEA,67.573395
HIA,74.929504
AME,69.88765
LIA,57.24845
LMA,64.399445
ANE,67.72775
ASA,77.125
ASE,65.188095
AEE,57.31545
UMA,69.974396
EAM,69.1
ECM,76.335
GEM,68.425
HIM,76.465
LCM,70.155
LIM,56.425
LMM,65.395
MEM,68.22
NAN,76.465
SAM,65.134995
SSM,56.329998
UMM,70.509995
EAE,72.2044
ECE,74.7021
GLE,68.6267
HWW,76.3629
LCE,70.212296
LIW,59.0743
LMW,64.87285
MEE,67.412445
NAE,76.596146
SAE,65.47265
SSE,55.481598
UMW,71.70125
# Series: AVDTFEIN,NaN
"# Name: Mean age of death, female",NaN
# Definition: Average age of death overall for a population,NaN
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),NaN
# Data from the No Ceilings project: http://noceilings.org,NaN
"# For more about the data, please visit http://noceilings.org/data",NaN
AFG,30.560001
ALB,47.925
DZA,40.96
AND,53.145
AGO,29.8
ATG,48.185
ARG,48.325
ARM,47.670002
AUS,52.155
AUT,51.785
AZE,42.385002
BHS,41.16
BHR,40.795
BGD,40.025
BRB,47.14
BLR,46.9
BEL,52.055
BLZ,41.22
BEN,29.075
BTN,39.16
BOL,35.625
BIH,49.69
BWA,35.489998
BRA,44.96
BRN,46.145
BGR,50.36
BFA,23.585
BDI,31.53
KHM,36.695
CMR,30.310001
CAN,51.81
CPV,42.45
CAF,33.29
TCD,25.07
CHL,48.59
CHN,47.33
COL,42.68
COM,32.195
COG,33.635002
CRI,47.54
CIV,31.720001
HRV,50.475
CUB,51.125
CYP,51.56
CZE,50.41
PRK,44.085
COD,26.695
DNK,51.97
DJI,33.42
DMA,46.205
DOM,44.88
ECU,42.77
EGY,42.54
SLV,43.295
GNQ,29.650002
ERI,30.355
EST,48.895
ETH,32.625
FJI,41.785
FIN,51.155
FRA,51.89
GAB,37.28
GMB,27.665
GEO,47.865
DEU,51.87
GHA,34.17
GRC,52.765
GRD,45.7
GTM,37.28
GIN,27.35
GNB,27.975
GUY,40.915
HTI,32.785
HND,41.605
HUN,49.71
ISL,52.61
IND,40.13
IDN,41.735
IRN,44.675003
IRQ,32.285
IRL,51.085
ISR,51.69
ITA,53.215
JAM,45.555
JPN,53.195
JOR,43.245003
KAZ,41.84
KEN,31.01
KIR,39.190002
KWT,42.35
KGZ,39.68
LAO,36.515
LVA,48.45
LBN,47.095
LSO,33.215
LBR,25.720001
LBY,42.245003
LTU,48.06
LUX,50.915
MKD,49.735
MDG,33.870003
MWI,29.945
MYS,44.88
MDV,44.475
MLI,23.27
MLT,52.015
MHL,38.78
MRT,29.835
MUS,46.61
MEX,44.535
FSM,43.125
MNG,40.059998
MNE,49.8
MAR,41.82
MOZ,30.45
MMR,40.565002
NAM,37.13
NPL,36.29
NLD,52.235
NZL,51.425
NIC,42.27
NER,23.490002
NGA,26.07
NOR,52.77
OMN,42.010002
PAK,35.73
PAN,45.309998
PNG,36.78
PRY,43.27
PER,43.045
PHL,39.42
POL,49.145
PRT,51.925
QAT,38.495003
KOR,48.875
MDA,46.550003
ROU,49.255
RUS,45.58
RWA,31.25
LCA,46.114998
VCT,44.18
WSM,43.760002
STP,35.4
SAU,42.29
SEN,30.03
SRB,50.655
SYC,41.84
SLE,28.135
SGP,49.335
SVK,49.165
SVN,50.455
SLB,40.045
SOM,29.395
ZAF,35.614998
ESP,52.68
LKA,47.335
SDN,31.665
SUR,40.989998
SWZ,34.355
SWE,53.555
CHE,52.94
SYR,43.33
TJK,36.27
TZA,29.45
THA,45.71
TLS,31.515
TGO,29.875
TON,44.36
TTO,45.38
TUN,45.864998
TUR,43.68
TKM,41.34
UGA,30.01
UKR,47.120003
ARE,36.775
GBR,52.455
USA,50.49
URY,50.465
UZB,40.215
VUT,40.67
VEN,42.105
VNM,44.440002
YEM,31.155
ZMB,29.115002
ZWE,34.335
AAE,43.05835
ACE,49.05835
GEA,41.5984
HIA,48.954502
AME,43.91265
LIA,31.27345
LMA,38.42445
ANE,41.75275
ASA,51.15
ASE,39.2131
AEE,31.34045
UMA,43.9994
EAM,43.125
ECM,50.36
GEM,42.45
HIM,50.49
LCM,44.18
LIM,30.45
LMM,39.42
MEM,42.245003
NAN,50.49
SAM,39.16
SSM,30.355
UMM,44.535
EAE,46.2294
ECE,48.7271
GLE,42.651703
HWW,50.3879
LCE,44.2373
LIW,33.0993
LMW,38.89785
MEE,41.43745
NAE,50.62115
SAE,39.49765
SSE,29.5066
UMW,45.72625
# Series: AVDTFEIN,NaN
"# Name: Mean age of death, female",NaN
# Definition: Average age of death overall for a population,NaN
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),NaN
# Data from the No Ceilings project: http://noceilings.org,NaN
"# For more about the data, please visit http://noceilings.org/data",NaN
AFG,51.120003
ALB,68.485
DZA,61.520004
AND,73.705
AGO,50.36
ATG,68.745
ARG,68.885
ARM,68.23
AUS,72.715
AUT,72.345
AZE,62.945
BHS,61.72
BHR,61.355003
BGD,60.585
BRB,67.7
BLR,67.46
BEL,72.615005
BLZ,61.780003
BEN,49.635002
BTN,59.72
BOL,56.185
BIH,70.25
BWA,56.050003
BRA,65.520004
BRN,66.705
BGR,70.92
BFA,44.145
BDI,52.090004
KHM,57.255
CMR,50.870003
CAN,72.37
CPV,63.010002
CAF,53.850002
TCD,45.63
CHL,69.15
CHN,67.89
COL,63.24
COM,52.755
COG,54.195
CRI,68.100006
CIV,52.280003
HRV,71.035
CUB,71.685
CYP,72.12
CZE,70.97
PRK,64.645004
COD,47.255
DNK,72.53
DJI,53.980003
DMA,66.765
DOM,65.44
ECU,63.33
EGY,63.100002
SLV,63.855003
GNQ,50.210003
ERI,50.915
EST,69.455
ETH,53.185
FJI,62.345
FIN,71.715
FRA,72.45
GAB,57.840004
GMB,48.225002
GEO,68.425
DEU,72.43
GHA,54.730003
GRC,73.325
GRD,66.26
GTM,57.840004
GIN,47.910004
GNB,48.535004
GUY,61.475002
HTI,53.345
HND,62.165
HUN,70.270004
